old_path,new_path,type,status
/a--area-51-blogger-was-raided-gunpoint-federal-agents-he-says-us-government-trying-silence-him,/news/-area-51-blogger-was-raided-gunpoint-federal-agents-he-says-us-government-trying-silence-him,article,301
/a--arms-treaty-the-block,/news/-arms-treaty-the-block,article,301
/a--army-chaplain-who-quit-over-unaccountable-killing-obamas-secretive-drone-program,/news/-army-chaplain-who-quit-over-unaccountable-killing-obamas-secretive-drone-program,article,301
/a--artful-dodgers,/news/-artful-dodgers,article,301
/a--assassinations-long-shadow,/news/-assassinations-long-shadow,article,301
/a--astonishing-turn-george-soros-charles-koch-team-up-end-us-forever-war-policy,/news/-astonishing-turn-george-soros-charles-koch-team-up-end-us-forever-war-policy,article,301
/a--atomic-bomb-didnt-end-war,/news/-atomic-bomb-didnt-end-war,article,301
/a--attorney-generals-power-grab-the-shadow-the-pandemic-unprecedented-unconstitutionaland-unnecessary,/news/-attorney-generals-power-grab-the-shadow-the-pandemic-unprecedented-unconstitutionaland-unnecessary,article,301
/a--audience-with-koko-talking-gorilla,/news/-audience-with-koko-talking-gorilla,article,301
/a--audit-finds-many-faults-clevelands-06-voting,/news/-audit-finds-many-faults-clevelands-06-voting,article,301
/a--austerity-agenda,/news/-austerity-agenda,article,301
/a--autocrats-others-coronavirus-a-chance-grab-even-more-power,/news/-autocrats-others-coronavirus-a-chance-grab-even-more-power,article,301
/a--backpack-help-sfs-homeless-deal-with-hardships,/news/-backpack-help-sfs-homeless-deal-with-hardships,article,301
/a--backyard-farmers-who-grow-food-with-fog,/news/-backyard-farmers-who-grow-food-with-fog,article,301
/a--bad-eating-habits-are-killing-most-americans,/news/-bad-eating-habits-are-killing-most-americans,article,301
/a--bad-news-that-fish-eating-lots-plastic-even-worse-they-may-like-it,/news/-bad-news-that-fish-eating-lots-plastic-even-worse-they-may-like-it,article,301
/a--balm-psyches-scarred-war,/news/-balm-psyches-scarred-war,article,301
/a--baltimore-healing-trauma-now-official-policy,/news/-baltimore-healing-trauma-now-official-policy,article,301
/a--bank-england-told-us-do-it-claims-barclays,/news/-bank-england-told-us-do-it-claims-barclays,article,301
/a--bankers-blockade-wikileaks-must-end,/news/-bankers-blockade-wikileaks-must-end,article,301
/a--bar-keeps-going-up-venerable-entrepreneurs,/news/-bar-keeps-going-up-venerable-entrepreneurs,article,301
/a--barcelona-kids-bike-school-large-choreographed-herds,/news/-barcelona-kids-bike-school-large-choreographed-herds,article,301
/a--battle-the-worlds-most-powerful-cyberweapon,/news/-battle-the-worlds-most-powerful-cyberweapon,article,301
